date,usd,eur,gbp,jpy
2010-03-30,1.060000,1.072229,1.284577,0.162000
2010-03-31,1.020000,1.052205,1.246228,0.167000
2010-04-01,1.050000,1.060046,1.260125,0.163000
2010-04-02,1.110000,,,0.163000
2010-04-05,1.180000,,,0.163000
2010-04-06,1.140000,1.077934,1.328883,0.159000
2010-04-07,1.060000,1.064726,1.318499,0.159000
2010-04-08,1.090000,1.034126,1.249520,0.155000
2010-04-09,1.080000,1.089686,1.276175,0.155000
2010-04-12,1.070000,1.106053,1.290829,0.155000
2010-04-13,1.070000,1.067443,1.260555,0.160000
2010-04-14,1.070000,1.060927,1.264999,0.160000
2010-04-15,1.040000,1.056532,1.274340,0.165000
2010-04-16,0.980000,1.017765,1.232154,0.165000
2010-04-19,1.010000,1.000346,1.251579,0.160000
2010-04-20,1.050000,1.028176,1.268268,0.160000
2010-04-21,1.030000,1.029918,1.308840,0.160000
2010-04-22,1.070000,1.058336,1.340321,0.160000
2010-04-23,1.100000,1.059075,1.403141,0.160000
2010-04-26,1.090000,1.094293,1.405256,0.165000
2010-04-27,1.030000,1.081843,1.350805,0.162000
2010-04-28,1.030000,1.083987,1.328083,0.160000
2010-04-29,1.010000,1.065499,1.339760,
2010-04-30,0.970000,1.011487,1.258012,0.160000
2010-05-03,1.000000,1.020214,,
2010-05-04,0.960000,0.982267,1.228425,
2010-05-05,0.880000,0.862375,1.206423,
2010-05-06,0.750000,0.801717,1.216445,0.160000
2010-05-07,0.830000,0.741124,1.232172,0.160000
2010-05-10,0.870000,0.817386,1.278255,0.160000
2010-05-11,0.850000,0.826316,1.271252,0.160000
2010-05-12,0.890000,0.814651,1.198809,0.155000
2010-05-13,0.870000,0.814999,1.141552,0.160000
2010-05-14,0.790000,0.758543,1.088368,0.160000
2010-05-17,0.810000,0.819014,1.061015,0.160000
2010-05-18,0.760000,0.875249,1.076165,0.165000
2010-05-19,0.800000,0.860522,1.035623,0.165000
2010-05-20,0.760000,0.823528,0.992758,0.160000
2010-05-21,0.760000,0.832908,1.013150,0.155000
2010-05-24,0.770000,0.826545,1.028689,0.160000
2010-05-25,0.810000,0.837997,0.975544,0.160000
2010-05-26,0.820000,0.893971,1.022189,0.160000
2010-05-27,0.870000,0.933957,1.052169,0.160000
2010-05-28,0.760000,0.577498,1.047966,0.160000
2010-05-31,,0.566074,,0.160000
2010-06-01,0.780000,0.560946,1.064672,0.155000
2010-06-02,0.820000,0.569080,1.044219,0.155000
2010-06-03,0.820000,0.601787,1.071017,0.150000
2010-06-04,0.720000,0.580496,1.016468,0.145000
2010-06-07,0.740000,0.590801,0.984911,0.145000
2010-06-08,0.740000,0.579693,0.962318,0.145000
2010-06-09,0.740000,0.562667,0.994100,0.145000
2010-06-10,0.790000,0.580261,1.049681,0.145000
2010-06-11,0.750000,0.545572,0.995051,0.150000
2010-06-14,0.770000,0.570047,1.094061,0.155000
2010-06-15,0.790000,0.604894,1.056036,0.155000
2010-06-16,0.750000,0.595265,1.051778,0.155000
2010-06-17,0.720000,0.617745,1.041770,0.155000
2010-06-18,0.740000,0.656724,1.080512,0.155000
2010-06-21,0.740000,0.700397,1.056224,0.155000
2010-06-22,0.710000,0.688158,0.982471,0.151000
2010-06-23,0.660000,0.694193,0.973116,0.150000
2010-06-24,0.670000,0.658724,0.931957,0.150000
2010-06-25,0.650000,0.689058,0.932528,0.150000
2010-06-28,0.620000,0.691024,0.951197,0.150000
2010-06-29,0.610000,0.654537,0.986421,0.145000
2010-06-30,0.610000,0.693134,0.936241,0.145000
2010-07-01,0.630000,0.727280,0.945729,0.140000
2010-07-02,0.630000,0.726503,0.976926,0.140000
2010-07-05,,0.689285,0.935551,0.140000
2010-07-06,0.620000,0.726411,0.940239,0.140000
2010-07-07,0.630000,0.707687,0.958590,0.140000
2010-07-08,0.630000,0.774729,0.963731,0.140000
2010-07-09,0.630000,0.800656,0.928273,0.140000
2010-07-12,0.650000,0.761172,0.936406,0.140000
2010-07-13,0.670000,0.766256,0.966932,0.145000
2010-07-14,0.620000,0.818025,0.988622,0.145000
2010-07-15,0.610000,0.846245,0.974552,0.145000
2010-07-16,0.610000,0.836538,0.953874,0.140000
2010-07-19,0.610000,0.891887,0.977136,
2010-07-20,0.610000,0.842441,0.990194,0.145000
2010-07-21,0.580000,0.802895,0.994903,0.145000
2010-07-22,0.600000,0.790024,0.998838,0.144000
2010-07-23,0.600000,0.808211,1.076038,0.144000
2010-07-26,0.620000,0.858928,1.110287,0.145000
2010-07-27,0.650000,0.929391,1.151616,0.145000
2010-07-28,0.610000,0.898418,1.117788,0.145000
2010-07-29,0.590000,0.905217,1.054253,0.145000
2010-07-30,0.550000,0.871846,0.992098,0.145000
2010-08-02,0.560000,0.892049,1.017125,0.145000
2010-08-03,0.530000,0.816502,0.991961,0.145000
2010-08-04,0.560000,0.816198,1.009581,0.140000
2010-08-05,0.530000,0.823269,0.993830,0.140000
2010-08-06,0.500000,0.825556,0.979158,0.140000
2010-08-09,0.540000,0.798964,0.991009,0.140000
2010-08-10,0.520000,0.792192,0.978676,0.136000
2010-08-11,0.540000,0.705547,0.910344,0.136000
2010-08-12,0.550000,0.680887,0.893497,0.136000
2010-08-13,0.540000,0.680176,0.910743,0.131000
2010-08-16,0.510000,0.661838,0.858172,0.135000
2010-08-17,0.520000,0.686226,0.874782,0.130000
2010-08-18,0.510000,0.665071,0.855404,0.120000
2010-08-19,0.490000,0.662996,0.829675,0.115000
2010-08-20,0.490000,0.635119,0.802053,0.114000
2010-08-23,0.490000,0.642450,0.798479,0.114000
2010-08-24,0.500000,0.581620,0.738397,0.119000
2010-08-25,0.530000,0.607434,0.756824,0.125000
2010-08-26,0.510000,0.631108,0.774195,0.121000
2010-08-27,0.560000,0.636848,0.789336,0.129000
2010-08-30,0.500000,0.616722,,0.129000
2010-08-31,0.470000,0.623867,0.770697,0.119000
2010-09-01,0.500000,0.647888,0.826987,0.119000
2010-09-02,0.500000,0.643716,0.853527,0.124000
2010-09-03,0.520000,0.674491,0.861693,0.129000
2010-09-06,,0.668679,0.839278,0.149000
2010-09-07,0.490000,0.621983,0.792843,0.139000
2010-09-08,0.520000,0.672340,0.813943,0.134000
2010-09-09,0.570000,0.720437,0.844678,0.134000
2010-09-10,0.580000,0.755465,0.907126,0.144000
2010-09-13,0.530000,0.780391,0.895755,0.140000
2010-09-14,0.500000,0.760430,0.836028,0.140000
2010-09-15,0.500000,0.792278,0.847650,0.130000
2010-09-16,0.480000,0.857069,0.884889,0.125000
2010-09-17,0.480000,0.818926,0.875904,0.125000
2010-09-20,0.470000,0.846879,0.898615,
2010-09-21,0.430000,0.850882,0.871826,0.126000
2010-09-22,0.440000,0.821947,0.796496,0.126000
2010-09-23,0.450000,0.759002,0.778491,
2010-09-24,0.450000,0.774214,0.840532,0.131000
2010-09-27,0.440000,0.773236,0.798978,0.137000
2010-09-28,0.370000,0.780291,0.791418,0.134000
2010-09-29,0.440000,0.837415,0.768891,0.135000
2010-09-30,0.420000,0.899321,0.786718,0.132000
2010-10-01,0.420000,0.929296,0.790634,0.128000
2010-10-04,0.410000,0.875624,0.766133,0.126000
2010-10-05,0.410000,0.864673,0.800099,0.113000
2010-10-06,0.380000,0.835727,0.758673,0.113000
2010-10-07,0.360000,0.855028,0.784499,0.119000
