"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-12";"GBA";"10J";
"1988-01-12";"GBB";"2J";
"1988-01-12";"GBB";"5J";
"1988-01-12";"GBB";"10J";
"1988-01-12";"GBC";"2J";
"1988-01-12";"GBC";"5J";
"1988-01-12";"GBC";"10J";
"1988-01-12";"IHA";"2J";
"1988-01-12";"IHA";"5J";
"1988-01-12";"IHA";"10J";
"1988-01-12";"IHB";"2J";
"1988-01-12";"IHB";"5J";
"1988-01-12";"IHB";"10J";
"1988-01-13";"CHF";"1J";
"1988-01-13";"CHF";"2J";
"1988-01-13";"CHF";"3J";
"1988-01-13";"CHF";"4J";
"1988-01-13";"CHF";"5J";
"1988-01-13";"CHF";"6J";
"1988-01-13";"CHF";"7J";
"1988-01-13";"CHF";"8J";
"1988-01-13";"CHF";"9J";
"1988-01-13";"CHF";"10J";
"1988-01-13";"CHF";"20J";
"1988-01-13";"CHF";"30J";
"1988-01-13";"EUR";"1J";
"1988-01-13";"EUR";"2J";
"1988-01-13";"EUR";"3J";
"1988-01-13";"EUR";"4J";
"1988-01-13";"EUR";"5J";
"1988-01-13";"EUR";"6J";
"1988-01-13";"EUR";"7J";
"1988-01-13";"EUR";"8J";
"1988-01-13";"EUR";"9J";
"1988-01-13";"EUR";"10J";
"1988-01-13";"EUR";"20J";
"1988-01-13";"EUR";"30J";
"1988-01-13";"KTA";"2J";
"1988-01-13";"KTA";"5J";
"1988-01-13";"KTA";"10J";
"1988-01-13";"KTB";"2J";
"1988-01-13";"KTB";"5J";
"1988-01-13";"KTB";"10J";
"1988-01-13";"PFI";"2J";
"1988-01-13";"PFI";"5J";
"1988-01-13";"PFI";"10J";
"1988-01-13";"GBA";"2J";
"1988-01-13";"GBA";"5J";
"1988-01-13";"GBA";"10J";
"1988-01-13";"GBB";"2J";
"1988-01-13";"GBB";"5J";
"1988-01-13";"GBB";"10J";
"1988-01-13";"GBC";"2J";
"1988-01-13";"GBC";"5J";
"1988-01-13";"GBC";"10J";
"1988-01-13";"IHA";"2J";
"1988-01-13";"IHA";"5J";
"1988-01-13";"IHA";"10J";
"1988-01-13";"IHB";"2J";
"1988-01-13";"IHB";"5J";
"1988-01-13";"IHB";"10J";
"1988-01-14";"CHF";"1J";
"1988-01-14";"CHF";"2J";
"1988-01-14";"CHF";"3J";
"1988-01-14";"CHF";"4J";
"1988-01-14";"CHF";"5J";
"1988-01-14";"CHF";"6J";
"1988-01-14";"CHF";"7J";
"1988-01-14";"CHF";"8J";
